iter	RMSE
0	14936763.52
1	13771546.15
2	12706375.22
3	11742998.55
4	10893911.91
5	10109447.78
6	9386929.801
7	8739216.981
8	8188155.644
9	7662447.7
10	7196395.888
11	6793718.681
12	6400816.822
13	6045240.052
14	5737440.777
15	5454764.203
16	5183409.226
17	4938427.895
18	4717750.741
19	4519212.713
20	4342412.92
21	4171235.331
22	4017928.522
23	3880463.272
24	3758652.158
25	3650247.224
26	3557660.383
27	3481814.836
28	3386457.219
29	3314752.585
30	3250779.969
31	3182213.989
32	3125891.819
33	3061503.946
34	3012196.128
35	2966805.392
36	2921937.784
37	2878608.708
38	2845935.402
39	2796950.049
40	2764616.841
41	2729154.257
42	2700116.145
43	2674334.873
44	2635822.229
45	2611587.147
46	2586328.418
47	2567344.683
48	2547690.751
49	2517660.29
50	2486159.631
51	2462938
52	2449625.655
53	2426950.102
54	2399215.148
55	2372544.584
56	2362135.663
57	2340462.491
58	2311684.789
59	2289563.169
60	2269477.619
61	2255268.674
62	2242203.205
63	2230439.357
64	2222688.706
65	2210596.014
66	2193734.867
67	2179948.12
68	2164165.612
69	2153793.451
70	2142382.971
71	2130780.054
72	2120173.666
73	2113626.541
74	2102659.492
75	2091633.84
76	2077977.47
77	2070110.293
78	2054534.14
79	2043581.651
80	2028907.544
81	2015289.492
82	2007202.423
83	1996336.956
84	1988916.825
85	1977268.993
86	1963794.527
87	1958982.48
88	1947704.533
89	1936996.891
90	1926925.963
91	1917827.22
92	1909077.422
93	1899323.269
94	1891192.738
95	1884946.427
96	1874374.434
97	1864716.169
98	1859753.192
99	1850601.07
