iter	Passed	Remaining
0	73	7309
1	85	4198
2	97	3143
3	107	2580
4	118	2259
5	130	2039
6	140	1863
7	152	1748
8	163	1649
9	173	1562
10	185	1499
11	196	1439
12	206	1382
13	217	1337
14	229	1298
15	239	1256
16	251	1225
17	262	1194
18	272	1161
19	283	1134
20	294	1108
21	305	1081
22	316	1060
23	328	1040
24	339	1017
25	350	998
26	362	978
27	372	957
28	384	940
29	394	921
30	404	899
31	415	882
32	426	866
33	437	848
34	448	832
35	459	817
36	469	799
37	480	784
38	491	769
39	502	753
40	512	738
41	523	723
42	534	708
43	545	694
44	557	680
45	567	666
46	579	653
47	589	638
48	600	625
49	612	612
50	623	598
51	633	585
52	644	571
53	653	557
54	664	543
55	675	530
56	686	518
57	698	505
58	709	492
59	719	479
60	730	467
61	741	454
62	751	441
63	762	429
64	774	416
65	783	403
66	794	391
67	805	379
68	816	366
69	828	354
70	840	343
71	851	330
72	861	318
73	872	306
74	882	294
75	893	282
76	904	270
77	915	258
78	926	246
79	937	234
80	946	222
81	957	210
82	967	198
83	979	186
84	989	174
85	998	162
86	1009	150
87	1020	139
88	1031	127
89	1041	115
90	1053	104
91	1063	92
92	1075	80
93	1085	69
94	1096	57
95	1107	46
96	1118	34
97	1128	23
98	1139	11
99	1148	0
